Projid	ID Number	collaborator sample id	BSP Sample ID	Available Volume	Conc	total	RIN by BSP	"Plate #, Product Order"	Plate ID and GSSR Kit ID	well	RiboGreen Quant ng/ul	ug of Leftover RNA	Notes
77239958	718	718_120531	SM-2T7GI	59.8	356	21.2888	8.3	"Plate 1, PDO-397 RIN 8-9"	CO-5976954 BISR13738	G12	136.75	1.6	
15161351	713	713_120531	SM-2T7GD	47.0	244.3	11.4821	7.6	"Plate 2, PDO-463 RIN 7-8"	CO-6038855 BISR13771	G12	153.71	2.4	
20594407	708	708_120531	SM-2T7G8	59.2	329.3	19.49456	7.2	"Plate 3, PDO-475 RIN 6-7"	CO-6093623 BISR13782	C04	114.91	0.5	
76867532	711	711_120531	SM-2T7GB	54.0	295.9	15.9786	6.5	"Plate 3, PDO-475 RIN 6-7"	CO-6093623 BISR13782	D11	138.55	1.7	
23004922	710	710_120531	SM-2T7GA	54.0	290	15.66	6.2	"Plate 4, PDO-476 RIN 5-6"	CO-6095291 BISR13786	D11	217.34	5.4	
20263921	715	715_120531	SM-2T7GF	68.6	489.7	33.59342	6.2	"Plate 4, PDO-476 RIN 5-6"	CO-6095291 BISR13786	A02	158.87	2.6	
16513683	709	709_120531	SM-2T7G9	55.2	303.1	16.73112	5.8	"Plate 4, PDO-476 RIN 5-6"	CO-6095291 BISR13786	D04	194.26	4.3	
21406920	721	721_120531	SM-2T7GL	55.6	284.2	15.80152	5.8	"Plate 4, PDO-476 RIN 5-6"	CO-6095291 BISR13786	E02	217.73	5.5	
89377194	714	714_120531	SM-2T7GE	55.6	303.2	16.85792	5.2	"Plate 4, PDO-476 RIN 5-6"	CO-6095291 BISR13786	D03	224.6	5.8	
32705437	716	716_120531	SM-2T7GG	51.5	278.9	14.36335	5.0	"Plate 4, PDO-476 RIN 5-6"	CO-6095291 BISR13786	E05	173.45	3.3	
21413181	44	44_120416	SM-2T718	45.7	250.2	11.43414	8.7	"Plate 1, PDO-397 RIN 8-9"	CO-5976954 BISR13738	D01	239.47	6.5	
65736039	660	660_120530	SM-2T7FR	56.0	202.5	11.34	8.1	"Plate 1, PDO-397 RIN 8-9"	CO-5976954 BISR13738	B12	179.91	3.6	
21181988	64	64_120417	SM-2T71J	47.1	230.7	10.86597	8.3	"Plate 1, PDO-397 RIN 8-9"	CO-5976954 BISR13738	F01	187.7	4.0	
21000504	260	260_120426	SM-2T73S	48.3	237	11.45299893	8.3	"Plate 1, PDO-397 RIN 8-9"	CO-5976954 BISR13738	F03	193.42	4.3	
92613520	206	206_120424	SM-2T6Z6	45.3	236.9	10.73289901	8.4	"Plate 1, PDO-397 RIN 8-9"	CO-5976954 BISR13738	D03	183.14	3.8	
